familie,instanz,verfahren,seed,n_in,m_in,delta_in,n,m,delta_eff,augmentiert,bump,sonderfall_vn,k,k_papier,steigungen,steigungen_schranke,steigungen_strikt,breite,breite_schranke,hoehe,hoehe_schranke,teile,verifiziert,zeit_ms,strategie
dichte,random n=64 m=64 s=91002,thm1,91002,64,64,8,64,115,8,1,0,0,131072,131072,12,16,37,1660,393216,5112140,37748736,41,1,112.113,
dichte,random n=64 m=64 s=91003,thm4,91003,64,64,10,64,93,10,1,0,0,,,5,5,6,91,122,38493,38983,,1,16.972,
dichte,random n=64 m=64 s=91003,thm1,91003,64,64,10,64,127,10,1,0,0,163840,163840,18,22,46,1694,491520,7045120,47185920,45,1,118.270,
dichte,random n=64 m=64 s=91004,thm4,91004,64,64,7,64,93,8,1,0,0,,,4,4,5,90,122,30809,31297,,1,23.880,
dichte,random n=64 m=64 s=91004,thm1,91004,64,64,7,64,121,7,1,0,0,114688,114688,9,13,33,848,344064,4816896,33030144,44,1,121.923,
dichte,random n=64 m=64 s=91005,thm4,91005,64,64,8,64,96,8,1,0,0,,,4,4,5,93,128,32319,32833,,1,20.870,
dichte,random n=64 m=64 s=91005,thm1,91005,64,64,8,64,120,8,1,0,0,131072,131072,12,16,37,1930,393216,5374338,37748736,43,1,120.644,
dichte,random n=64 m=64 s=91006,thm4,91006,64,64,9,64,96,10,1,0,0,,,5,5,6,95,128,40383,40897,,1,21.744,
dichte,random n=64 m=64 s=91006,thm1,91006,64,64,9,64,128,9,1,0,0,147456,147456,13,19,42,1476,442368,6340608,42467328,45,1,119.865,
dichte,random n=64 m=64 s=91007,thm4,91007,64,64,7,64,98,8,1,0,0,,,4,4,5,95,132,33329,33857,,1,16.154,
dichte,random n=64 m=64 s=91007,thm1,91007,64,64,7,64,128,7,1,0,0,114688,114688,11,13,33,1304,344064,5046272,33030144,46,1,121.608,
dichte,random n=64 m=64 s=91008,thm4,91008,64,64,7,64,91,8,1,0,0,,,4,4,5,89,118,29801,30273,,1,18.820,
dichte,random n=64 m=64 s=91008,thm1,91008,64,64,7,64,130,7,1,0,0,114688,114688,13,13,33,888,344064,5275870,33030144,48,1,124.132,
dichte,random n=64 m=64 s=91009,thm4,91009,64,64,15,64,97,16,1,0,0,,,8,8,9,94,130,65637,66625,,1,19.740,
dichte,random n=64 m=64 s=91009,thm1,91009,64,64,15,64,124,15,1,0,0,245760,245760,18,37,69,3960,737280,8847690,70778880,38,1,106.509,
dichte,random n=64 m=96 s=91100,thm4,91100,64,96,12,64,111,12,1,0,0,,,6,6,7,108,158,59788,60737,,1,5.770,
dichte,random n=64 m=96 s=91100,thm1,91100,64,96,12,64,142,13,1,0,0,212992,212992,21,31,55,3130,638976,9797632,61341696,48,1,122.708,
dichte,random n=64 m=96 s=91101,thm4,91101,64,96,15,64,107,16,1,0,0,,,8,8,9,104,150,75975,76865,,1,4.545,
dichte,random n=64 m=96 s=91101,thm1,91101,64,96,15,64,135,16,1,0,0,262144,262144,23,40,69,2730,786432,12582912,75497472,50,1,118.146,
dichte,random n=64 m=96 s=91102,thm4,91102,64,96,8,64,106,8,1,0,0,,,4,4,5,96,148,37361,37953,,1,4.186,
dichte,random n=64 m=96 s=91102,thm1,91102,64,96,8,64,130,9,1,0,0,147456,147456,15,19,37,1770,442368,7225639,42467328,51,1,118.636,
dichte,random n=64 m=96 s=91103,thm4,91103,64,96,15,64,106,16,1,0,0,,,8,8,9,105,148,74970,75841,,1,4.285,
dichte,random n=64 m=96 s=91103,thm1,91103,64,96,15,64,131,15,1,0,0,245760,245760,25,37,69,4188,737280,10568029,70778880,45,1,113.180,
dichte,random n=64 m=96 s=91104,thm4,91104,64,96,13,64,113,14,1,0,0,,,7,7,8,111,162,71725,72479,,1,6.645,
dichte,random n=64 m=96 s=91104,thm1,91104,64,96,13,64,137,14,1,0,0,229376,229376,20,34,60,3817,688128,11698176,66060288,53,1,131.277,
dichte,random n=64 m=96 s=91105,thm4,91105,64,96,13,64,111,14,1,0,0,,,7,7,8,109,158,69742,70691,,1,6.278,
dichte,random n=64 m=96 s=91105,thm1,91105,64,96,13,64,135,14,1,0,0,229376,229376,17,34,60,3905,688128,11698176,66060288,53,1,127.223,
dichte,random n=64 m=96 s=91106,thm4,91106,64,96,13,64,111,14,1,0,0,,,7,7,8,109,158,69745,70691,,1,5.954,
dichte,random n=64 m=96 s=91106,thm1,91106,64,96,13,64,140,13,1,0,0,212992,212992,20,31,60,2490,638976,9797881,61341696,48,1,111.480,
dichte,random n=64 m=96 s=91107,thm4,91107,64,96,14,64,110,14,1,0,0,,,7,7,8,109,156,69077,69797,,1,5.579,
dichte,random n=64 m=96 s=91107,thm1,91107,64,96,14,64,134,14,1,0,0,229376,229376,23,34,64,2695,688128,11239424,66060288,51,1,118.371,
dichte,random n=64 m=96 s=91108,thm4,91108,64,96,13,64,111,14,1,0,0,,,7,7,8,110,158,69745,70691,,1,6.168,
dichte,random n=64 m=96 s=91108,thm1,91108,64,96,13,64,135,13,1,0,0,212992,212992,22,31,60,3610,638976,9797632,61341696,48,1,116.380,
dichte,random n=64 m=96 s=91109,thm4,91109,64,96,13,64,110,14,1,0,0,,,7,7,8,108,156,69075,69797,,1,5.409,
dichte,random n=64 m=96 s=91109,thm1,91109,64,96,13,64,136,13,1,0,0,212992,212992,18,31,60,2810,638976,9797913,61341696,48,1,113.686,
dichte,random n=64 m=128 s=91200,thm4,91200,64,128,18,64,134,18,1,0,0,,,9,9,10,131,204,115740,117365,,1,3.722,
dichte,random n=64 m=128 s=91200,thm1,91200,64,128,18,64,158,19,1,0,0,311296,311296,33,49,82,7104,933888,16187836,89653248,54,1,131.130,
dichte,random n=64 m=128 s=91201,thm4,91201,64,128,13,64,131,14,1,0,0,,,7,7,8,126,198,87631,88571,,1,2.692,
dichte,random n=64 m=128 s=91201,thm1,91201,64,128,13,64,151,13,1,0,0,212992,212992,25,31,60,1920,638976,11927744,61341696,58,1,128.559,
dichte,random n=64 m=128 s=91202,thm4,91202,64,128,14,64,134,14,1,0,0,,,7,7,8,130,204,90045,91253,,1,3.671,
dichte,random n=64 m=128 s=91202,thm1,91202,64,128,14,64,153,14,1,0,0,229376,229376,25,34,64,2211,688128,11927753,66060288,54,1,124.637,
dichte,random n=64 m=128 s=91203,thm4,91203,64,128,20,64,133,20,1,0,0,,,10,10,11,132,202,127851,129345,,1,3.358,
dichte,random n=64 m=128 s=91203,thm1,91203,64,128,20,64,154,20,1,0,0,327680,327680,35,52,91,4488,983040,18022664,94371840,57,1,125.233,
dichte,random n=64 m=128 s=91204,thm4,91204,64,128,22,64,138,22,1,0,0,,,11,11,12,137,212,146985,149101,,1,5.136,
dichte,random n=64 m=128 s=91204,thm1,91204,64,128,22,64,158,22,1,0,0,360448,360448,38,58,100,4351,1081344,18383077,103809024,53,1,125.211,
dichte,random n=64 m=128 s=91205,thm4,91205,64,128,16,64,134,16,1,0,0,,,8,8,9,130,204,103260,104513,,1,3.711,
dichte,random n=64 m=128 s=91205,thm1,91205,64,128,16,64,154,17,1,0,0,278528,278528,29,43,73,4298,835584,14762291,80216064,55,1,131.723,
dichte,random n=64 m=128 s=91206,thm4,91206,64,128,19,64,132,20,1,0,0,,,10,10,11,129,200,126378,128065,,1,3.027,
dichte,random n=64 m=128 s=91206,thm1,91206,64,128,19,64,154,19,1,0,0,311296,311296,34,49,87,4256,933888,15876362,89653248,53,1,121.252,
dichte,random n=64 m=128 s=91207,thm4,91207,64,128,13,64,133,14,1,0,0,,,7,7,8,130,202,89389,90359,,1,3.566,
dichte,random n=64 m=128 s=91207,thm1,91207,64,128,13,64,155,13,1,0,0,212992,212992,29,31,60,2720,638976,11927824,61341696,58,1,133.649,
dichte,random n=64 m=128 s=91208,thm4,91208,64,128,21,64,133,22,1,0,0,,,11,11,12,132,202,140052,142071,,1,3.367,
dichte,random n=64 m=128 s=91208,thm1,91208,64,128,21,64,157,21,1,0,0,344064,344064,34,55,96,5292,1032192,18579750,99090432,56,1,128.067,
dichte,random n=64 m=128 s=91209,thm4,91209,64,128,19,64,133,20,1,0,0,,,10,10,11,131,202,127847,129345,,1,3.545,
dichte,random n=64 m=128 s=91209,thm1,91209,64,128,19,64,158,19,1,0,0,311296,311296,35,49,87,3312,933888,16498895,89653248,55,1,129.032,
dichte,random n=64 m=186 s=91300,thm4,91300,64,186,23,64,186,24,0,0,0,,,12,12,12,182,308,233821,236609,,1,2.595,
dichte,random n=64 m=186 s=91300,thm1,91300,64,186,23,64,186,23,0,0,0,376832,376832,46,61,61,4380,1130496,22986971,108527616,63,1,144.044,
dichte,random n=64 m=186 s=91301,thm4,91301,64,186,20,64,186,20,0,0,0,,,10,10,10,180,308,194163,197185,,1,2.553,
dichte,random n=64 m=186 s=91301,thm1,91301,64,186,20,64,186,20,0,0,0,327680,327680,48,52,52,4522,983040,19988746,94371840,63,1,145.038,
dichte,random n=64 m=186 s=91302,thm4,91302,64,186,37,64,186,38,0,0,0,,,19,19,19,185,308,370219,374285,,1,2.823,
dichte,random n=64 m=186 s=91302,thm1,91302,64,186,37,64,186,37,0,0,0,606208,606208,51,103,103,6120,1818624,36978868,174587904,63,1,141.905,
dichte,random n=64 m=186 s=91303,thm4,91303,64,186,25,64,186,26,0,0,0,,,13,13,13,183,308,253230,256013,,1,2.643,
dichte,random n=64 m=186 s=91303,thm1,91303,64,186,25,64,186,25,0,0,0,409600,409600,53,67,67,3696,1228800,24985768,117964800,63,1,141.297,
dichte,random n=64 m=186 s=91304,thm4,91304,64,186,25,64,186,26,0,0,0,,,13,13,13,185,308,253240,256013,,1,2.642,
dichte,random n=64 m=186 s=91304,thm1,91304,64,186,25,64,186,25,0,0,0,409600,409600,51,67,67,6204,1228800,24985882,117964800,63,1,145.281,
dichte,random n=64 m=186 s=91305,thm4,91305,64,186,22,64,186,22,0,0,0,,,11,11,11,180,308,214227,216589,,1,2.635,
dichte,random n=64 m=186 s=91305,thm1,91305,64,186,22,64,186,22,0,0,0,360448,360448,35,58,58,7733,1081344,21987735,103809024,63,1,145.840,
dichte,random n=64 m=186 s=91306,thm4,91306,64,186,27,64,186,28,0,0,0,,,14,14,14,185,308,272829,276033,,1,2.657,
dichte,random n=64 m=186 s=91306,thm1,91306,64,186,27,64,186,27,0,0,0,442368,442368,52,73,73,6432,1327104,26984716,127401984,63,1,145.475,
dichte,random n=64 m=186 s=91307,thm4,91307,64,186,28,64,186,28,0,0,0,,,14,14,14,185,308,272829,276033,,1,2.600,
dichte,random n=64 m=186 s=91307,thm1,91307,64,186,28,64,186,28,0,0,0,458752,458752,54,76,76,5425,1376256,27984089,132120576,63,1,141.344,
dichte,random n=64 m=186 s=91308,thm4,91308,64,186,24,64,186,24,0,0,0,,,12,12,12,182,308,233821,236609,,1,2.783,
dichte,random n=64 m=186 s=91308,thm1,91308,64,186,24,64,186,24,0,0,0,393216,393216,51,64,64,3927,1179648,23986363,113246208,63,1,144.717,
dichte,random n=64 m=186 s=91309,thm4,91309,64,186,29,64,186,30,0,0,0,,,15,15,15,184,308,292227,295437,,1,2.751,
dichte,random n=64 m=186 s=91309,thm1,91309,64,186,29,64,186,29,0,0,0,475136,475136,44,79,79,11258,1425408,28983729,136839168,63,1,146.047,
dichte,random n=128 m=128 s=92000,thm4,92000,128,128,14,128,190,14,1,0,0,,,7,7,8,189,252,224159,225669,,1,161.548,
dichte,random n=128 m=128 s=92000,thm1,92000,128,128,14,128,256,14,1,0,0,917504,917504,20,34,64,11231,2752512,80740352,528482304,90,1,933.117,
dichte,random n=128 m=128 s=92001,thm4,92001,128,128,10,128,190,10,1,0,0,,,5,5,6,186,252,160329,161157,,1,109.394,
dichte,random n=128 m=128 s=92001,thm1,92001,128,128,10,128,253,10,1,0,0,655360,655360,15,22,46,6258,1966080,58327934,377487360,91,1,839.300,
dichte,random n=128 m=128 s=92002,thm4,92002,128,128,11,128,181,12,1,0,0,,,6,6,7,177,234,178439,179841,,1,109.741,
dichte,random n=128 m=128 s=92002,thm1,92002,128,128,11,128,238,11,1,0,0,720896,720896,20,25,51,7976,2162688,55509989,415236096,79,1,826.551,
dichte,random n=128 m=128 s=92003,thm4,92003,128,128,15,128,186,16,1,0,0,,,8,8,9,185,244,248037,249985,,1,128.948,
dichte,random n=128 m=128 s=92003,thm1,92003,128,128,15,128,250,15,1,0,0,983040,983040,21,37,69,8808,2949120,88473600,566231040,92,1,862.118,
dichte,random n=128 m=128 s=92004,thm4,92004,128,128,20,128,197,20,1,0,0,,,10,10,11,195,266,337950,340609,,1,212.847,
dichte,random n=128 m=128 s=92004,thm1,92004,128,128,20,128,249,20,1,0,0,1310720,1310720,30,52,91,13957,3932160,108790581,754974720,85,1,922.192,
dichte,random n=128 m=128 s=92005,thm4,92005,128,128,15,128,189,16,1,0,0,,,8,8,9,188,250,254131,256129,,1,162.523,
dichte,random n=128 m=128 s=92005,thm1,92005,128,128,15,128,248,15,1,0,0,983040,983040,19,37,69,8964,2949120,85525227,566231040,89,1,908.680,
dichte,random n=128 m=128 s=92006,thm4,92006,128,128,11,128,198,12,1,0,0,,,6,6,7,196,268,204347,205953,,1,132.648,
dichte,random n=128 m=128 s=92006,thm1,92006,128,128,11,128,253,11,1,0,0,720896,720896,21,25,51,9008,2162688,62717952,415236096,89,1,910.873,
dichte,random n=128 m=128 s=92007,thm4,92007,128,128,14,128,195,14,1,0,0,,,7,7,8,190,262,233046,234619,,1,155.329,
dichte,random n=128 m=128 s=92007,thm1,92007,128,128,14,128,262,14,1,0,0,917504,917504,28,34,64,9438,2752512,83493722,528482304,93,1,949.352,
dichte,random n=128 m=128 s=92008,thm4,92008,128,128,15,128,193,16,1,0,0,,,8,8,9,191,258,262257,264321,,1,161.663,
dichte,random n=128 m=128 s=92008,thm1,92008,128,128,15,128,245,15,1,0,0,983040,983040,29,37,69,10164,2949120,81592320,566231040,85,1,848.308,
dichte,random n=128 m=128 s=92009,thm4,92009,128,128,10,128,190,10,1,0,0,,,5,5,6,183,252,160330,161157,,1,158.094,
dichte,random n=128 m=128 s=92009,thm1,92009,128,128,10,128,253,10,1,0,0,655360,655360,19,22,46,5383,1966080,53084160,377487360,83,1,856.340,
dichte,random n=128 m=192 s=92100,thm4,92100,128,192,23,128,226,24,1,0,0,,,12,12,13,223,324,495018,497793,,1,26.385,
dichte,random n=128 m=192 s=92100,thm1,92100,128,192,23,128,281,23,1,0,0,1507328,1507328,37,61,105,13080,4521984,141689486,868220928,96,1,843.453,
dichte,random n=128 m=192 s=92101,thm4,92101,128,192,15,128,217,16,1,0,0,,,8,8,9,213,306,311029,313473,,1,20.744,
dichte,random n=128 m=192 s=92101,thm1,92101,128,192,15,128,275,15,1,0,0,983040,983040,29,37,69,7704,2949120,94372482,566231040,98,1,801.648,
dichte,random n=128 m=192 s=92102,thm4,92102,128,192,19,128,220,20,1,0,0,,,10,10,11,216,312,396370,399489,,1,22.489,
dichte,random n=128 m=192 s=92102,thm1,92102,128,192,19,128,273,20,1,0,0,1310720,1310720,38,52,87,9452,3932160,129761836,754974720,101,1,874.376,
dichte,random n=128 m=192 s=92103,thm4,92103,128,192,20,128,222,20,1,0,0,,,10,10,11,220,316,402303,404609,,1,25.367,
dichte,random n=128 m=192 s=92103,thm1,92103,128,192,20,128,276,20,1,0,0,1310720,1310720,35,52,91,9894,3932160,127140422,754974720,99,1,816.342,
dichte,random n=128 m=192 s=92104,thm4,92104,128,192,14,128,223,14,1,0,0,,,7,7,8,216,318,282833,284739,,1,24.440,
dichte,random n=128 m=192 s=92104,thm1,92104,128,192,14,128,280,14,1,0,0,917504,917504,29,34,64,10989,2752512,92668903,528482304,103,1,916.123,
dichte,random n=128 m=192 s=92105,thm4,92105,128,192,17,128,224,18,1,0,0,,,9,9,10,218,320,366322,368449,,1,27.676,
dichte,random n=128 m=192 s=92105,thm1,92105,128,192,17,128,282,19,1,0,0,1245184,1245184,43,49,78,8448,3735552,122028560,717225984,100,1,870.777,
dichte,random n=128 m=192 s=92106,thm4,92106,128,192,22,128,228,22,1,0,0,,,11,11,12,226,328,458383,461625,,1,28.418,
dichte,random n=128 m=192 s=92106,thm1,92106,128,192,22,128,281,22,1,0,0,1441792,1441792,36,58,100,15694,4325376,145621818,830472192,103,1,889.113,
dichte,random n=128 m=192 s=92107,thm4,92107,128,192,15,128,213,16,1,0,0,,,8,8,9,209,298,303456,305281,,1,17.517,
dichte,random n=128 m=192 s=92107,thm1,92107,128,192,15,128,273,16,1,0,0,1048576,1048576,31,40,69,7605,3145728,99615305,603979776,97,1,812.020,
dichte,random n=128 m=192 s=92108,thm4,92108,128,192,25,128,229,26,1,0,0,,,13,13,14,227,330,545587,548919,,1,29.795,
dichte,random n=128 m=192 s=92108,thm1,92108,128,192,25,128,289,27,1,0,0,1769472,1769472,47,73,114,25032,5308416,176948243,1019215872,102,1,888.471,
dichte,random n=128 m=192 s=92109,thm4,92109,128,192,17,128,224,18,1,0,0,,,9,9,10,222,320,365891,368449,,1,26.890,
dichte,random n=128 m=192 s=92109,thm1,92109,128,192,17,128,274,18,1,0,0,1179648,1179648,35,46,78,14145,3538944,114425856,679477248,99,1,896.581,
dichte,random n=128 m=256 s=92200,thm4,92200,128,256,23,128,264,24,1,0,0,,,12,12,13,262,400,611037,614529,,1,12.388,
dichte,random n=128 m=256 s=92200,thm1,92200,128,256,23,128,309,24,1,0,0,1572864,1572864,40,64,105,12915,4718592,166724199,905969664,108,1,966.707,
dichte,random n=128 m=256 s=92201,thm4,92201,128,256,25,128,268,26,1,0,0,,,13,13,14,265,408,675060,678633,,1,15.509,
dichte,random n=128 m=256 s=92201,thm1,92201,128,256,25,128,310,25,1,0,0,1638400,1638400,48,67,114,19316,4915200,175309678,943718400,109,1,969.393,
dichte,random n=128 m=256 s=92202,thm4,92202,128,256,22,128,268,22,1,0,0,,,11,11,12,265,408,570119,574185,,1,14.229,
dichte,random n=128 m=256 s=92202,thm1,92202,128,256,22,128,315,22,1,0,0,1441792,1441792,41,58,100,13813,4325376,165806807,830472192,117,1,1031.154,
dichte,random n=128 m=256 s=92203,thm4,92203,128,256,26,128,267,26,1,0,0,,,13,13,14,264,406,670443,675307,,1,13.555,
dichte,random n=128 m=256 s=92203,thm1,92203,128,256,26,128,313,27,1,0,0,1769472,1769472,48,73,118,24552,5308416,176947200,1019215872,102,1,894.744,
dichte,random n=128 m=256 s=92204,thm4,92204,128,256,20,128,266,20,1,0,0,,,10,10,11,261,404,514231,517249,,1,12.667,
dichte,random n=128 m=256 s=92204,thm1,92204,128,256,20,128,312,22,1,0,0,1441792,1441792,40,58,91,13680,4325376,165806080,830472192,117,1,1011.365,
dichte,random n=128 m=256 s=92205,thm4,92205,128,256,27,128,268,28,1,0,0,,,14,14,15,267,408,727153,731265,,1,14.181,
dichte,random n=128 m=256 s=92205,thm1,92205,128,256,27,128,314,28,1,0,0,1835008,1835008,53,76,123,11750,5505024,194511318,1056964608,108,1,894.596,
dichte,random n=128 m=256 s=92206,thm4,92206,128,256,27,128,263,28,1,0,0,,,14,14,15,260,398,709331,713345,,1,10.247,
dichte,random n=128 m=256 s=92206,thm1,92206,128,256,27,128,304,28,1,0,0,1835008,1835008,42,76,123,12175,5505024,198181351,1056964608,110,1,870.877,
dichte,random n=128 m=256 s=92207,thm4,92207,128,256,27,128,269,28,1,0,0,,,14,14,15,268,410,729112,734849,,1,15.175,
dichte,random n=128 m=256 s=92207,thm1,92207,128,256,27,128,310,27,1,0,0,1769472,1769472,47,73,123,23112,5308416,180486144,1019215872,104,1,905.337,
dichte,random n=128 m=256 s=92208,thm4,92208,128,256,27,128,264,28,1,0,0,,,14,14,15,262,400,711339,716929,,1,11.002,
dichte,random n=128 m=256 s=92208,thm1,92208,128,256,27,128,310,27,1,0,0,1769472,1769472,42,73,123,21720,5308416,182256521,1019215872,105,1,873.788,
dichte,random n=128 m=256 s=92209,thm4,92209,128,256,21,128,268,22,1,0,0,,,11,11,12,263,408,571155,574185,,1,14.179,
dichte,random n=128 m=256 s=92209,thm1,92209,128,256,21,128,317,22,1,0,0,1441792,1441792,46,58,96,13357,4325376,145621695,830472192,103,1,879.193,
dichte,random n=128 m=378 s=92300,thm4,92300,128,378,40,128,378,40,0,0,0,,,20,20,20,375,628,1598622,1607809,,1,9.256,
dichte,random n=128 m=378 s=92300,thm1,92300,128,378,40,128,378,40,0,0,0,2621440,2621440,79,112,112,38924,7864320,327681052,1509949440,127,1,1104.184,
dichte,random n=128 m=378 s=92301,thm4,92301,128,378,44,128,378,44,0,0,0,,,22,22,22,376,628,1758519,1768577,,1,9.195,
dichte,random n=128 m=378 s=92301,thm1,92301,128,378,44,128,378,44,0,0,0,2883584,2883584,72,124,124,29684,8650752,360448724,1660944384,127,1,1088.178,
dichte,random n=128 m=378 s=92302,thm4,92302,128,378,33,128,378,34,0,0,0,,,17,17,17,375,628,1358604,1366029,,1,9.263,
dichte,random n=128 m=378 s=92302,thm1,92302,128,378,33,128,378,33,0,0,0,2162688,2162688,75,91,91,12540,6488064,270336418,1245708288,127,1,1090.806,
dichte,random n=128 m=378 s=92303,thm4,92303,128,378,44,128,378,44,0,0,0,,,22,22,22,377,628,1758529,1768577,,1,9.259,
dichte,random n=128 m=378 s=92303,thm1,92303,128,378,44,128,378,44,0,0,0,2883584,2883584,81,124,124,54243,8650752,360449323,1660944384,127,1,1107.842,
dichte,random n=128 m=378 s=92304,thm4,92304,128,378,36,128,378,36,0,0,0,,,18,18,18,375,628,1438735,1447041,,1,9.435,
dichte,random n=128 m=378 s=92304,thm1,92304,128,378,36,128,378,36,0,0,0,2359296,2359296,81,100,100,20229,7077888,294912613,1358954496,127,1,1102.258,
dichte,random n=128 m=378 s=92305,thm4,92305,128,378,37,128,378,38,0,0,0,,,19,19,19,375,628,1518491,1526797,,1,9.078,
dichte,random n=128 m=378 s=92305,thm1,92305,128,378,37,128,378,37,0,0,0,2424832,2424832,79,103,103,16422,7274496,303104483,1396703232,127,1,1100.204,
dichte,random n=128 m=378 s=92306,thm4,92306,128,378,36,128,378,36,0,0,0,,,18,18,18,376,628,1438743,1447041,,1,9.279,
dichte,random n=128 m=378 s=92306,thm1,92306,128,378,36,128,378,36,0,0,0,2359296,2359296,66,100,100,28314,7077888,294912858,1358954496,127,1,1109.423,
dichte,random n=128 m=378 s=92307,thm4,92307,128,378,37,128,378,38,0,0,0,,,19,19,19,375,628,1518491,1526797,,1,9.223,
dichte,random n=128 m=378 s=92307,thm1,92307,128,378,37,128,378,37,0,0,0,2424832,2424832,71,103,103,26758,7274496,303104787,1396703232,127,1,1095.117,
dichte,random n=128 m=378 s=92308,thm4,92308,128,378,38,128,378,38,0,0,0,,,19,19,19,377,628,1518507,1526797,,1,9.085,
dichte,random n=128 m=378 s=92308,thm1,92308,128,378,38,128,378,38,0,0,0,2490368,2490368,67,106,106,38115,7471104,311297089,1434451968,127,1,1118.608,
dichte,random n=128 m=378 s=92309,thm4,92309,128,378,29,128,378,30,0,0,0,,,15,15,15,373,628,1196947,1205261,,1,9.387,
dichte,random n=128 m=378 s=92309,thm1,92309,128,378,29,128,378,29,0,0,0,1900544,1900544,73,79,79,14404,5701632,237568554,1094713344,127,1,1102.007,
stern,stern k=4,thm4,-1,5,4,4,5,7,4,1,0,0,,,2,2,3,4,9,76,96,,1,0.132,
stern,stern k=4,thm1,-1,5,4,4,5,8,5,1,0,0,500,500,3,7,19,12,2160,1000,19440,4,1,0.243,
pfad,pfad n=4,thm4,-1,4,3,2,4,4,4,1,0,0,,,2,2,2,3,4,27,37,,1,0.056,
pfad,pfad n=4,thm1,-1,4,3,2,4,6,5,1,0,0,320,320,2,7,10,6,2160,320,19440,3,1,0.130,
stern,stern k=8,thm4,-1,9,8,8,9,15,8,1,0,0,,,4,4,5,14,21,694,766,,1,0.353,
stern,stern k=8,thm1,-1,9,8,8,9,16,8,1,0,0,2592,2592,7,16,37,70,7776,15552,104976,8,1,0.932,
pfad,pfad n=8,thm4,-1,8,7,2,8,8,4,1,0,0,,,2,2,2,7,8,119,137,,1,0.088,
pfad,pfad n=8,thm1,-1,8,7,2,8,14,5,1,0,0,1280,1280,4,7,10,12,3840,5120,46080,6,1,0.564,
stern,stern k=12,thm4,-1,13,12,12,13,23,12,1,0,0,,,6,6,7,22,33,2432,2588,,1,0.774,
stern,stern k=12,thm1,-1,13,12,12,13,24,12,1,0,0,8112,8112,11,28,55,198,24336,81120,474552,12,1,2.212,
pfad,pfad n=12,thm4,-1,12,11,2,12,12,4,1,0,0,,,2,2,2,11,12,275,301,,1,0.145,
pfad,pfad n=12,thm1,-1,12,11,2,12,21,5,1,0,0,2880,2880,6,7,10,38,8640,20179,155520,9,1,1.438,
stern,stern k=16,thm4,-1,17,16,16,17,31,16,1,0,0,,,8,8,9,30,45,5866,6138,,1,1.428,
stern,stern k=16,thm1,-1,17,16,16,17,32,16,1,0,0,18496,18496,15,40,73,390,55488,258944,1414944,16,1,4.622,
pfad,pfad n=16,thm4,-1,16,15,2,16,16,4,1,0,0,,,2,2,2,15,16,495,529,,1,0.211,
pfad,pfad n=16,thm1,-1,16,15,2,16,29,5,1,0,0,5120,5120,6,7,10,40,15360,51220,368640,12,1,2.761,
stern,stern k=20,thm4,-1,21,20,20,21,39,20,1,0,0,,,10,10,11,38,57,11572,11992,,1,2.351,
stern,stern k=20,thm1,-1,21,20,20,21,40,20,1,0,0,35280,35280,19,52,91,646,105840,635040,3333960,20,1,7.847,
pfad,pfad n=20,thm4,-1,20,19,2,20,20,4,1,0,0,,,2,2,2,19,20,779,821,,1,0.303,
pfad,pfad n=20,thm1,-1,20,19,2,20,36,5,1,0,0,8000,8000,6,7,10,58,24000,104029,720000,15,1,4.682,
stern,stern k=24,thm4,-1,25,24,24,25,47,24,1,0,0,,,12,12,13,46,69,20126,20726,,1,3.591,
stern,stern k=24,thm1,-1,25,24,24,25,48,24,1,0,0,60000,60000,23,64,109,966,180000,1320000,6750000,24,1,12.295,
pfad,pfad n=24,thm4,-1,24,23,2,24,24,4,1,0,0,,,2,2,2,23,24,1127,1177,,1,0.380,
pfad,pfad n=24,thm1,-1,24,23,2,24,44,5,1,0,0,11520,11520,7,7,10,74,34560,184357,1244160,18,1,7.671,
stern,stern k=28,thm4,-1,29,28,28,29,55,28,1,0,0,,,14,14,15,54,81,32104,32916,,1,5.114,
stern,stern k=28,thm1,-1,29,28,28,29,56,28,1,0,0,94192,94192,27,76,127,1350,282576,2448992,12292056,28,1,18.363,
pfad,pfad n=28,thm4,-1,28,27,2,28,28,4,1,0,0,,,2,2,2,27,28,1539,1597,,1,0.487,
pfad,pfad n=28,thm1,-1,28,27,2,28,51,5,1,0,0,15680,15680,7,7,10,92,47040,282286,1975680,20,1,10.927,
stern,stern k=32,thm4,-1,33,32,32,33,63,32,1,0,0,,,16,16,17,62,93,48082,49138,,1,7.289,
stern,stern k=32,thm1,-1,33,32,32,33,64,32,1,0,0,139392,139392,31,88,145,1798,418176,4181760,20699712,32,1,26.040,
pfad,pfad n=32,thm4,-1,32,31,2,32,32,4,1,0,0,,,2,2,2,31,32,2015,2081,,1,0.607,
pfad,pfad n=32,thm1,-1,32,31,2,32,59,5,1,0,0,20480,20480,7,7,10,110,61440,409655,2949120,22,1,15.538,
stern,stern k=36,thm4,-1,37,36,36,37,71,36,1,0,0,,,18,18,19,70,105,68636,69968,,1,10.023,
stern,stern k=36,thm1,-1,37,36,36,37,72,36,1,0,0,197136,197136,35,100,163,2310,591408,6702624,32823144,36,1,35.839,
pfad,pfad n=36,thm4,-1,36,35,2,36,36,4,1,0,0,,,2,2,2,35,36,2555,2629,,1,0.753,
pfad,pfad n=36,thm1,-1,36,35,2,36,66,5,1,0,0,25920,25920,7,7,10,136,77760,570308,4199040,24,1,21.402,
