idx n papier minimal quadratisch fl_minimal fl_quadratisch
68 49 0.000221167 1.27597 1.0288 0.0001733319751910169 0.00021497667052911836
69 64 0.000403132 1.0776 0.937599 0.000607540268491549 0.0005422279306034313
70 64 0.000156686 1.36147 1.03284 0.00011508583485182699 0.00015170405503195375
71 64 0.000428729 1.7069 0.987307 0.00025117467466383733 0.0004342408560410856
72 64 0.0004433 3.71854 0.741207 0.0002486289311856239 0.0006531899393656917
73 64 0.000305487 3.24207 0.78685 0.00018169069229647067 0.0004256007807099784
74 64 0.00018932 2.5844 0.919187 9.640243228752788e-05 0.00021654914721758387
75 64 0.00033835 5.26933 0.834079 0.00010011198814552158 0.00041634352916455544
76 64 0.000286297 3.14537 0.888439 0.00012723497274525934 0.0003356498307836894
77 64 0.000184395 2.30145 0.944947 9.833072102638695e-05 0.0002048194329006243
78 64 0.000321093 2.33203 0.658505 0.000436437972516028 0.0005787106666709503
79 64 0.000184064 2.17396 0.836318 0.00015194772846174686 0.00025506906509001657
80 64 0.000186522 1.94992 0.940819 0.00012245202133786477 0.00021342407647258104
81 64 0.000417159 3.71231 0.78141 0.0002066360759066337 0.0005661987310942867
82 81 0.000112195 1.41988 1.02463 7.901728755223318e-05 0.0001094987337889997
83 100 8.52433e-05 1.47859 0.972535 5.7651861886631876e-05 8.765058231158165e-05
84 128 0.000198392 1.1095 0.907407 0.0003035024158444963 0.0002510740955712206
85 128 0.000204641 1.83536 0.992949 0.00011149884919335039 0.0002060936591301937
